Company being reviewed,Competitor category,user_review_name,published_date,star_rating,review_title,review_body,Sentiment of review,Polarity,plastic surgery,Body & Liposuction,Hair Transplant,Veins,Rejuvenation & Fillers,Laser Hair Removal,Dermatology,Haemorrhoids,Snoring,Bunion,Competitors,Cost,Speed,Staff assistance,experience,Online,Cleanliness,Gratitude,results
Transform,direct,Harriet London,2017-02-15T11:59:27Z,3  stars,Laser Hair Removal,"I am currently a client at transform in the fulham branch, I decided to get laser hair removal as my skin type is fair and i have dark hair and thought it would work best for me. The first few treatments i started to see great improvement and less hair regrowth! But coming to the end of my sessions i have noticed patches where have been missed that are alot coarser than other areas. I also have fine hairs scattered about, according to transform's information you should have complete hair reduction after 6-8 sessions. This isnt the case for me, which is quite annoying after paying a hefty cost! That would be the main reason i would rate 3 stars, i would also say the fulham branch is quite lapsy dasy, on two occasions i turnt up to an appointment and hadnt been booked in from previous appointments. Also on times where they remembered to book me in they were often really bad with time keeping. I found myself waiting for 20 minutes at a time! Overall anyone thinking of undergoing laser hair removal at Transform i would do your research before hand!!",Positive,0.8629,0,0,0,0,0,Laser Hair Removal,0,0,0,0,Transform,cost,time,0,0,research,0,0,0
Transform,direct,Sue jones,2016-11-18T06:58:50Z,1  stars,Aftercare is awful!,Stay well clear from this company.,Positive,0.5719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transform,direct,Natalie,2019-03-26T21:51:12Z,4  stars,breast enlargement,I had breast enlargement done only a few days ago the care was brilliant the hospital was clean and my surgeon mr gesakis was amazing so glad I decided to go through transform,Positive,0.9543,Breast Enlargement,0,0,0,0,0,0,0,0,0,Transform,0,0,care,0,0,clean,glad,0
Transform,direct,Mrs Wood,2019-03-26T18:36:55Z,4  stars,Cannnot fault the days stay at pines?�?,Cannnot fault the days stay at pines manchester or the staff there absolutely professional and did an amazing job looking after me also the surgeon has done amaing job. The first to consultations with the surgeon where great however the co ordinater staff that book ur appoinments and so on were less than help full ignored my message and didnt book a pre op with the nurse so nearly had to cancel the surgery luckily enough the mistake was admitted and i managed to have both the pre op and the sugery on the date expected.,Positive,0.7665,0,0,0,0,0,0,0,0,0,0,0,0,0,professional,0,0,0,0,0
Transform,direct,Jackie High,2019-03-26T18:05:09Z,5  stars,Very professional service from?�?a very caring team of professionals,Very professional service from beginning to end. Dr sinha?��s team made me feel very safe and I was kept informed of progression. The food and catering service was very appetising. Comfortable calming room but still having all the medical equipment necessary.  Definitely recommend!,Positive,0.9036,0,0,0,0,0,0,0,0,0,0,0,0,0,professional,0,0,0,0,0
Transform,direct,Roger Cawood,2019-03-26T17:39:02Z,4  stars,Hi will say in 5 weeks but the overall?�?,Hi will say in 5 weeks but the overall experience was great thanks Roger,Positive,0.8885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,thanks,0
Transform,direct,Wendy,2019-03-26T17:19:45Z,5  stars,Everything was made so easy from start?�?,Everything was made so easy from start to finish. I was given all the help and advice I needed to make my decision and I?��m so much more confident and happy with myself now ?���,Positive,0.9344,0,0,0,0,0,0,0,0,0,0,0,0,easy,0,0,0,0,happy,0
Transform,direct,Bilyana,2019-03-26T17:14:23Z,5  stars,I?��ve had my op a week ago and I?��m so?�?,I?��ve had my op a week ago and I?��m so happy that I did it with transform . All the staff were amazing from receptionist to care assistants in the hospital(everybody). So professional and so friendly . 100% recommend them,Positive,0.9619,0,0,0,0,0,0,0,0,0,0,Transform,0,0,professional,0,0,0,happy,0
Transform,direct,Eleonora,2019-03-26T10:50:10Z,5  stars,Such an amazing experience with?�?,"Such an amazing experience with Transform! I?��m so happy with my results of breast augmentation.They really looked after me. My consultant Sallie was fabulous she kept in touch with me from the first day until the surgery and after. Dr  MELEAGROS he has done an amazing job he?��s give me exactly what I wanted! The staff at the hospital were fantastic they looked after me from the moment I arrived. I would 100% recommend transform. I couldn?��t be happier with the end result! The scars are healing impeccably, perfect symmetrical shape!",Positive,0.9833,Breast Augmentation,0,0,0,0,0,0,0,0,0,Transform,0,0,staff,0,0,0,happy,results
Transform,direct,Zoe Clark,2019-03-25T18:52:25Z,5  stars,From start to finish my experience with?�?,From start to finish my experience with transform has been amazing! My consultant Louise was fabulous she kept in touch with me from the first day until the surgery and after. Dr Netri was amazing he has done an amazing job he?��s give me exactly what I wanted and more! The staff at the pines hospital were fantastic they looked after me from the moment I arrived. I would 100% recommend transform. I couldn?��t be happier with the end result!,Positive,0.9758,0,0,0,0,0,0,0,0,0,0,Transform,0,0,staff,0,0,0,0,0
Transform,direct,Jane,2019-03-24T15:04:39Z,5  stars,Really wonderful experience with Mr?�?,"Really wonderful experience with Mr Sinha - I?��m so happy with my results of breast augmentation. Excellent aftercare and always professional manner. Took into account absolutely what I wanted and gave me the perfect result, in line with what I was hoping for. Very talented surgeon!! Highly recommend.",Positive,0.9784,Breast Augmentation,0,0,0,0,0,0,0,0,0,0,0,0,professional,0,0,0,happy,results
Transform,direct,Nicola,2019-03-20T22:22:33Z,5  stars,mr Sinha and the transform/riverside hospital team,I don?��t usually write reviews but I really feel,Neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transform,direct,Gemma Hicks,2019-03-15T18:41:12Z,3  stars,Septorhinoplasty operation,"I recently had a SeptoRhinoplasty with a surgeon through Transform. The surgery went really well, I?��m still very swollen so yet to see the final results, but the shape looks amazing.",Positive,0.7843,Rhinoplasty,0,0,0,0,0,0,0,0,0,Transform,0,0,0,0,0,0,0,results
Transform,direct,Juliana Vargas,2019-03-12T14:52:12Z,5  stars,Tummy Tuck and Breast Enlargement,"I had been planning my surgery for years and had been to many doctors when I went to Transform. My initial appointment with Danielle was nothing less than perfect. She explained my options, prices and payment plans. Then, I met Dr. Sinha, who was very professional and down to earth, explained my options, how the surgery would be and how to be more reasonable with my expectations. I then went for surgery and it was the best thing I have done. Hospital and staff were very careful and friendly and Dr. Sinha would call me everyday even after I was discharged. It?��s been six weeks since my tummy tuck and breast enlargement and I could not be happier.",Positive,0.6109,Tummy Tuck,0,0,0,0,0,0,0,0,0,Transform,price,0,professional,0,0,0,0,0
Transform,direct,Gracie Gooden,2019-03-12T08:20:10Z,5  stars,I really couldn't recoment?�?,"I really couldn't recoment transformation enough, I went in for a breast enlargement and the staff and service was phenomenal! When I went down for surgery they were so  understanding of my nerves!!  Highly recommend!!!",Positive,0.3384,Breast Enlargement,0,0,0,0,0,0,0,0,0,Transform,0,0,staff,0,0,0,0,0
Transform,direct,Ying Chen,2019-03-10T22:59:41Z,5  stars,This is very professional company and?�?,This is very professional company and all of staffs so friendly.I am so happy to see them.,Positive,0.8446,0,0,0,0,0,0,0,0,0,0,0,0,0,professional,0,0,0,happy,0
Transform,direct,Katie Williams,2019-03-10T13:33:44Z,5  stars,I couldn?��t recommend them enough,I couldn?��t recommend them enough! the staff couldn?��t be more attentive and kind the  facilities at the hospital are lovely and clean my personal room was lovely and spacious.,Positive,0.9474,0,0,0,0,0,0,0,0,0,0,0,0,0,staff,0,0,clean,0,0
Transform,direct,Lorraine,2019-03-09T13:45:46Z,5  stars,It?��s hard to describe surgery as an?�?,"It?��s hard to describe surgery as an amazing experience but it really was. Listened to, looked after and cared for throughout! From the first consultation through to post surgical care, Transform has been outstanding and I would highly recommend!!",Positive,0.9656,0,0,0,0,0,0,0,0,0,0,Transform,0,0,care,0,0,0,0,0
Transform,direct,Julie,2019-03-08T17:30:42Z,5  stars,Second time getting work done (turned?�?,"Second time getting work done (turned away once when looked at getting my boobs done again and was told they didn?��t need doing), the staff were amazing, the process was easy and knowing they had turned away proved their integrity and made me easily trust them",Positive,0.9325,0,0,0,0,0,0,0,0,0,0,0,0,time,staff,0,0,0,0,0
Transform,direct,Rosie Dutchyn,2019-03-08T14:19:07Z,5  stars,Superb,"Since my first meeting with the transform team it has felt so simple and relaxed. Anything you wanted was absolutely no bother. Everyone on operation day was superb. I honestly couldn't fault any of them. Even down to the friendly emails from Daniella before surgery, sweet personal touches. Just makes you feel like a human and not just after the money.",Positive,0.908,0,0,0,0,0,0,0,0,0,0,Transform,0,0,person,0,0,0,0,0
